NUTS,Location,Year,Election Type,PS,PSD,PCP,CDS,BE,Abstention
Município,Vila Franca de Xira,2009,European,29.77,18.15,24.04,6.57,14.91,59.9
Município,Vila Nova da Barquinha,2009,European,33.07,21.92,16.23,7.93,14.41,57.8
Município,Vila Nova de Cerveira,2009,European,37.98,38.04,4.1,7.72,7.88,63.7
Município,Vila Nova de Famalicão,2009,European,32.41,31.91,6.13,17.6,8.21,57.3
Município,Vila Nova de Foz Côa,2009,European,31.36,46.9,4.5,7.11,5.76,64.6
Município,Vila Nova de Gaia,2009,European,32.8,31.04,10.26,8.09,12.47,58.3
Município,Vila Nova de Paiva,2009,European,20.8,50.35,4.49,14.34,7.52,73.7
Município,Vila Nova de Poiares,2009,European,27.03,45.83,6.13,6.53,9.88,68.4
Município,Vila Pouca de Aguiar,2009,European,26.89,51.71,4.9,8.54,4.42,69.8
Município,Vila Real,2009,European,24.69,46.02,5.37,9.54,10.67,62
Município,Vila Real de Santo António,2009,European,25.49,27.72,19.62,5.44,15.94,71.3
Município,Vila Velha de Ródão,2009,European,46.26,31.48,7.42,3.45,7.17,55.2
Município,Vila Verde,2009,European,15.26,63.83,3.34,8.87,5.45,60
Município,Vila Viçosa,2009,European,26.41,22.97,26.95,6.35,11.71,66
Município,Vimioso,2009,European,26.26,61.8,1.98,3.85,3.28,74.1
Município,Vinhais,2009,European,37,40.68,3.68,9.04,5.27,73.2
Município,Viseu,2009,European,22.91,45.81,3.87,10.84,11.99,63.6
NUTS III,Viseu Dão Lafões,2009,European,24.82,47.37,3.97,10.69,9.08,66.2
Município,Vizela,2009,European,42.11,23.27,9.82,7.45,11.89,62.6
Município,Vouzela,2009,European,24.56,48.78,4.32,10.38,8.36,63.7
Município,Abrantes,2009,Local,41.84,24.42,7.24,3.47,5.49,39.2
Município,Águeda,2009,Local,55.96,35.07,1.96,5.3,1.31,39
Município,Aguiar da Beira,2009,Local,39.12,53.4,0.95,6.52,0,34.7
Município,Alandroal,2009,Local,40.12,2.89,16.71,0,0,21.8
Município,Albergaria-a-Velha,2009,Local,13.92,49.2,1.89,33.28,1.72,39.1
Município,Albufeira,2009,Local,21.76,68.8,3.25,3.14,3.05,48.7
Município,Alcácer do Sal,2009,Local,46.35,4.94,44.89,0,3.83,38.2
Município,Alcanena,2009,Local,46.98,0,6.63,0,2.36,34.3
Município,Alcobaça,2009,Local,21.86,47.01,15.99,5.44,2.72,39.6
Município,Alcochete,2009,Local,31.78,9.65,54.16,2,2.41,39.9
Município,Alcoutim,2009,Local,44.8,53.06,2.15,0,0,22.5
Município,Alenquer,2009,Local,41.1,0,16.7,0,5.12,39.6
NUTS II,Alentejo,2009,Local,41.72,16.43,28.56,1.23,3.15,37.8
NUTS III,Alentejo Central,2009,Local,41.05,11.35,35.14,1.03,1.12,38.2
NUTS III,Alentejo Litoral,2009,Local,41.56,5.25,38.07,1.02,4.59,37.5
Município,Alfândega da Fé,2009,Local,54.05,0,1,0,0,26.1
NUTS II,Algarve,2009,Local,42.71,33.3,6.21,1.61,4.08,43.3
NUTS III,Algarve,2009,Local,42.71,33.3,6.21,1.61,4.08,43.3
Município,Alijó,2009,Local,58.4,0,2.3,0,0,35.1
Município,Aljezur,2009,Local,69.11,17.07,13.82,0,0,33.6
Município,Aljustrel,2009,Local,50.12,0,47.79,0,0,30.6
Município,Almada,2009,Local,24.83,16.05,40.24,5.53,8.12,51.7
Município,Almeida,2009,Local,44.05,0,1.81,0,0,31.5
Município,Almeirim,2009,Local,54.23,9.75,12.89,3.23,0,46
Município,Almodôvar,2009,Local,34.49,58.4,4.93,0,2.18,30.8
Município,Alpiarça,2009,Local,43.44,0,51.34,0,0,33.4
Município,Alter do Chão,2009,Local,18.49,44.67,13.26,3.1,0,27.7
NUTS III,Alto Alentejo,2009,Local,46.33,23.87,16.86,1.02,1.1,33.2
NUTS III,Alto Minho,2009,Local,43,25.42,3.99,13.41,1.79,39.2
NUTS III,Alto Tâmega,2009,Local,34.41,48.55,3.28,3.56,0.2,41.9
Município,Alvaiázere,2009,Local,23.88,52.18,0.94,23,0,35.3
Município,Alvito,2009,Local,34.4,0,35.11,0,0,24.3
Município,Amadora,2009,Local,48.04,0,16.58,0,6.1,52.3
Município,Amarante,2009,Local,47.82,45.61,2.12,2.24,2.21,35
Município,Amares,2009,Local,29.73,14.98,1.49,4.33,1.26,35.8
Município,Anadia,2009,Local,26.1,59.19,5.02,9.68,0,42.6
Município,Ansião,2009,Local,33.43,64.09,2.47,0,0,36.2
Município,Arcos de Valdevez,2009,Local,20.55,70.85,1.97,6.63,0,47.5
NUTS II,Área Metropolitana de Lisboa,2009,Local,36.92,5.73,21.09,1.72,5.62,49.5
NUTS III,Área Metropolitana de Lisboa,2009,Local,36.92,5.73,21.09,1.72,5.62,49.5
NUTS III,Área Metropolitana do Porto,2009,Local,35.85,20.86,5.27,3.18,3.04,37.9
Município,Arganil,2009,Local,18.54,60.53,2.6,0,0,32
Município,Armamar,2009,Local,17.13,63.21,11.78,7.88,0,33.2
Município,Arouca,2009,Local,60.26,20.27,1.72,9.94,0,28.4
Município,Arraiolos,2009,Local,25.55,0,66.69,0,0,33.7
Município,Arronches,2009,Local,39.66,55.25,3.96,0,0,19.5
